iata,icao,airport_name,city,country,lat,lon,tz
NZA,FNZG,Nzagi Airport,Nzagi,Angola,-7.716939926149999,21.358200073200003,Africa/Luanda
LBZ,FNLK,Lucapa Airport,Lucapa,Angola,-8.445727348330001,20.7320861816,Africa/Luanda
KNP,FNCP,Capanda Airport,Kapanda,Angola,-9.76937007904,15.4553194046,Africa/Luanda
AMC,FTTN,Am Timan Airport,Am Timan,Chad,11.0340003967,20.274000167799997,Africa/Ndjamena
GSQ,HEOW,Shark El Oweinat International Airport,Sharq Al-Owainat,Egypt,22.5856990814209,28.71660041809082,Africa/Cairo
MRB,KMRB,Eastern WV Regional Airport/Shepherd Field,Martinsburg,United States,39.40190125,-77.98459625,America/New_York
AWA,HALA,Awassa Airport,Awasa,Ethiopia,7.066999912261963,38.5,Africa/Addis_Ababa
JIJ,HAJJ,Wilwal International Airport,Jijiga,Ethiopia,9.3325,42.9121,Africa/Addis_Ababa
MKS,HAMA,Mekane Selam Airport,Mekane Selam,Ethiopia,10.7254,38.7415,Africa/Addis_Ababa
DBM,HADM,Debra Marcos Airport,Debre Marqos,Ethiopia,10.350000381469727,37.71699905395508,Africa/Addis_Ababa
DBT,HADT,Debre Tabor Airport,Debre Tabor,Ethiopia,11.967000007629395,38.0,Africa/Addis_Ababa
QHR,HAHM,Harar Meda Airport,Debre Zeyit,Ethiopia,8.7163,39.0059,Africa/Addis_Ababa
GOB,HAGB,Robe Airport,Goba,Ethiopia,7.1160634,40.0463033,Africa/Addis_Ababa
MYB,FOOY,Mayumba Airport,Mayumba,Gabon,-3.4584197998046875,10.674076080322266,Africa/Libreville
MRE,HKMS,Mara Serena Lodge Airstrip,Masai Mara,Kenya,-1.406111,35.008057,Africa/Nairobi
JJM,HKMK,Mulika Lodge Airport,Meru National Park,Kenya,0.165083006024,38.1951408386,Africa/Nairobi
RBX,HSMK,Rumbek Airport,Rumbek,Sudan,6.8249998092699995,29.6690006256,Africa/Juba
CPA,GLCP,Cape Palmas Airport,Greenville,Liberia,4.3790202140808105,-7.6969499588012695,Africa/Monrovia
IHC,FQIA,Inhaca Airport,Inhaca,Mozambique,-25.9971446991,32.929351806599996,Africa/Maputo
MAX,GOSM,Ouro Sogui Airport,Matam,Senegal,15.593600273132324,-13.322799682617188,Africa/Dakar
BDI,FSSB,Bird Island Airport,Bird Island,Seychelles,-3.72472,55.205299,
WHF,HSSW,Wadi Halfa Airport,Wadi Halfa,Sudan,21.802698135375977,31.521577835083008,Africa/Khartoum
NBE,DTNH,Enfidha - Hammamet International Airport,Enfidha,Tunisia,36.075833,10.438611,Africa/Tunis
HTY,LTDA,Hatay Airport,Hatay,Turkey,36.36277771,36.282222747800006,Europe/Istanbul
RVV,NTAV,Raivavae Airport,Raivavae,French Polynesia,-23.885200500499998,-147.662002563,Pacific/Tahiti
FUO,ZGFS,Foshan Shadi Airport,Foshan,China,23.083299636799996,113.069999695,Asia/Shanghai
HUZ,ZGHZ,Huizhou Airport,Huizhou,China,23.0499992371,114.599998474,Asia/Shanghai
ILD,LEDA,Lleida-Alguaire Airport,Lleida,Spain,41.728185,0.535023,Europe/Madrid
BIU,BIBD,Bildudalur Airport,Bildudalur,Iceland,65.64129638671875,-23.546199798583984,Atlantic/Reykjavik
GJR,BIGJ,Gjögur Airport,Gjogur,Iceland,65.99530029296875,-21.326900482177734,Atlantic/Reykjavik
SAK,BIKR,Sauðárkrókur Airport,Saudarkrokur,Iceland,65.73169708249999,-19.572799682599996,Atlantic/Reykjavik
IIA,EIMN,Inishmaan Aerodrome,Inishmaan,Ireland,53.09299850463867,-9.568059921264648,Europe/Dublin
ULG,ZMUL,Ulgii Mongolei Airport,Olgii,Mongolia,48.9933013916,89.9225006104,Asia/Hovd
KQT,UTDT,Qurghonteppa International Airport,Kurgan Tyube,Tajikistan,37.86640167236328,68.86470031738281,Asia/Dushanbe
VGD,ULWW,Vologda Airport,Vologda,Russia,59.282501220703125,39.944400787353516,Europe/Moscow
ONK,UERO,Olenyok Airport,Olenyok,Russia,68.514999,112.480003,Asia/Yakutsk
SYS,UERS,Saskylakh Airport,Saskylakh,Russia,71.92790222168,114.08000183105,Asia/Yakutsk
LDG,ULAL,Leshukonskoye Airport,Arkhangelsk,Russia,64.8960037231,45.7229995728,Europe/Moscow
HSK,LEHC,Huesca/Pirineos Airport,Huesca,Spain,42.0760993958,-0.316666990519,Europe/Madrid
CQM,LERL,Ciudad Real Central Airport,Ciudad Real,Spain,38.8563888889,-3.97,Europe/Madrid
NJF,ORNI,Al Najaf International Airport,Najaf,Iraq,31.989853,44.404317,Asia/Baghdad
CSA,EGEY,Colonsay Airstrip,Colonsay,United Kingdom,56.0574989319,-6.243060112,Europe/London
RKH,KUZA,Rock Hill - York County Airport,Rock Hill,United States,34.9878006,-81.05719757,America/New_York
AGC,KAGC,Allegheny County Airport,Pittsburgh,United States,40.354400634765625,-79.9301986694336,America/New_York
VQQ,KVQQ,Cecil Airport,Jacksonville,United States,30.2187004089,-81.876701355,America/New_York
FTY,KFTY,Fulton County Airport Brown Field,Atlanta,United States,33.7790985107,-84.5214004517,America/New_York
TII,OATN,Tarin Kowt Airport,Tarin Kowt,Afghanistan,32.604198455799995,65.8657989502,Asia/Kabul
ZAJ,OAZJ,Zaranj Airport,Zaranj,Afghanistan,30.972222,61.865833,Asia/Kabul
CCN,OACC,Chakcharan Airport,Chaghcharan,Afghanistan,34.53300094604492,65.26699829101562,Asia/Kabul
FUG,ZSFY,Fuyang Xiguan Airport,Fuyang,China,32.882157,115.734364,Asia/Shanghai
LCX,ZSLD,Longyan Guanzhishan Airport,Longyan,China,25.6746997833,116.747001648,Asia/Shanghai
BSD,ZPBS,Baoshan Yunduan Airport,Baoshan,China,25.053301,99.168297,Asia/Shanghai
ACX,ZUYI,Xingyi Airport,Xingyi,China,25.0863888889,104.959444444,Asia/Shanghai
HZH,ZUNP,Liping Airport,Liping,China,26.32217,109.1499,Asia/Shanghai
OSU,KOSU,The Ohio State University Airport - Don Scott Field,Columbus,United States,40.0798,-83.072998,America/New_York
ADS,KADS,Addison Airport,Addison,United States,32.9686012268,-96.8364028931,America/Chicago
DSI,KDTS,Destin Executive Airport,Destin,United States,30.40010071,-86.47149658,America/Chicago
KHE,UKOH,Kherson International Airport,Kherson,Ukraine,46.6758,32.506401,Europe/Kiev
SZS,NZRC,Ryan's Creek Aerodrome,Stewart Island,New Zealand,-46.8997,168.100998,Pacific/Auckland
HJJ,ZGCJ,Zhijiang Airport,Zhijiang,China,27.4411111111,109.7,Asia/Shanghai
YQI,CYQI,Yarmouth Airport,Yarmouth,Canada,43.826900482177734,-66.08809661865234,America/Halifax
ISO,KISO,Kinston Regional Jetport At Stallings Field,Kinston,United States,35.331401825,-77.60880279540001,America/New_York
FFA,KFFA,First Flight Airport,Kill Devil Hills,United States,36.0181999207,-75.67130279540001,America/New_York
LNJ,ZPLC,Lintsang Airfield,Lincang,China,23.738100051900002,100.025001526,Asia/Shanghai
CKS,SBCJ,Carajás Airport,Parauapebas,Brazil,-6.11527776718,-50.0013885498,America/Belem
MWK,WIOM,Tarempa Airport,Anambas Islands,Indonesia,3.3481199741363525,106.25800323486328,Asia/Jakarta
PGU,OIBP,Persian Gulf International Airport,Khalije Fars,Iran,27.379601,52.737701,Asia/Tehran
YES,OISY,Yasouj Airport,Yasuj,Iran,30.700500488281,51.545101165771,Asia/Tehran
OSM,ORBM,Mosul International Airport,Mosul,Iraq,36.305801,43.1474,Asia/Baghdad
TJH,RJBT,Tajima Airport,Toyooka,Japan,35.51279830932617,134.78700256347656,Asia/Tokyo
AXJ,RJDA,Amakusa Airport,Amakusa,Japan,32.482498,130.158997,Asia/Tokyo
KKX,RJKI,Kikai Airport,Kikai,Japan,28.321300506599997,129.927993774,Asia/Tokyo
AGJ,RORA,Aguni Airport,Aguni,Japan,26.5925006866,127.240997314,Asia/Tokyo
ULZ,ZMDN,Donoi Airport,Uliastai,Mongolia,47.7093,96.5258,Asia/Ulaanbaatar
UGA,ZMBN,Bulgan Airport,Bulgan,Mongolia,48.85499954223633,103.47599792480469,Asia/Ulaanbaatar
ULO,ZMUG,Ulaangom Airport,Ulaangom,Mongolia,50.066588,91.938273,Asia/Hovd
LBX,RPLU,Lubang Airport,Lubang,Philippines,13.855400085449219,120.1050033569336,Asia/Manila
TJU,UTDK,Kulob Airport,Kulyab,Tajikistan,37.98809814453125,69.80500030517578,Asia/Dushanbe
CMJ,RCCM,Chi Mei Airport,Cimei,Taiwan,23.2131004333,119.417999268,Asia/Taipei
TAZ,UTAT,Daşoguz Airport,Dasoguz,Turkmenistan,41.761101,59.826698,Asia/Ashgabat
BWB,YBWX,Barrow Island Airport,Barrow Island,Australia,-20.86440086364746,115.40599822998047,Australia/Perth
DRB,YDBY,Derby Airport,Derby,Australia,-17.3700008392334,123.66100311279297,Australia/Perth
WGE,YWLG,Walgett Airport,Walgett,Australia,-30.032800674438477,148.12600708007812,Australia/Sydney
